City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
162,Codrington,AU,57.4,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
164,Shelburne,CA,30.0,clear sky,44.0787,-80.2041,The Retreat at the Farm
165,Las Vegas,US,69.8,clear sky,36.175,-115.1372,Plaza Hotel & Casino
168,Robe,AU,62.82,overcast clouds,-37.1833,139.75,Harbour View Motel
170,Soc Trang,VN,71.6,few clouds,9.6033,105.98,Phu Qui Hotel
171,Fontem,CM,74.14,clear sky,5.4685,9.8818,Vista Palace Hotel
175,Joshimath,IN,40.55,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
178,Zaterechnyy,RU,44.4,overcast clouds,44.7931,45.2097,
182,Bar Harbor,US,36.0,overcast clouds,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
183,Avera,US,53.6,clear sky,33.194,-82.5271,
184,Kidal,ML,73.17,clear sky,18.4411,1.4078,
185,Ancud,CL,71.6,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
189,Sept-Iles,CA,28.4,light snow,50.2001,-66.3821,Comfort Inn
190,Bengbu,CN,40.48,clear sky,32.9408,117.3608,Howard Johnson Nanshan Plaza
191,Komsomolskiy,UZ,37.4,mist,40.4272,71.7189,Ikathouse
193,Ponta Do Sol,PT,55.0,broken clouds,32.6667,-17.1,Hotel do Campo
196,Ormoz,SI,51.8,few clouds,46.4114,16.1544,Turistična kmetija Sonja Ozmec
198,Zlobin,HR,55.4,broken clouds,45.2924,14.6541,Hotel Bitoraj Fuzine
205,Darnah,LY,59.14,clear sky,32.766999999999996,22.6367,فندق الفردوس
209,Gualeguaychu,AR,73.0,overcast clouds,-33.0094,-58.5172,Hotel Los Angeles
210,Gat,IL,64.99,broken clouds,31.61,34.7642,OlusHome
211,Suez,EG,66.25,overcast clouds,29.9737,32.5263,Green House
215,Torbay,CA,39.0,light rain,47.6666,-52.7314,Gallows Cove
216,Skerries,IE,46.0,light rain,53.5828,-6.1083,The Redbank Guesthouse
218,Huarmey,PE,74.89,broken clouds,-10.0681,-78.1522,Hotel Miramar
