City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Atuona,PF,2021-02-03 20:02:55,-9.8,-139.0333,77.65,75,1,13.38
68,New Norfolk,AU,2021-02-03 20:03:35,-42.7826,147.0587,57.99,91,94,1.43
69,Torbay,CA,2021-02-03 20:04:38,47.6666,-52.7314,39.0,100,90,26.46
70,Grootfontein,NA,2021-02-03 20:04:38,-19.5667,18.1167,72.86,45,77,5.39
71,Manta,EC,2021-02-03 20:01:52,-0.95,-80.7333,84.2,79,40,9.22
72,Butaritari,KI,2021-02-03 20:04:38,3.0707,172.7902,81.46,84,34,17.18
73,Olafsvik,IS,2021-02-03 20:04:38,64.8945,-23.7142,36.75,80,100,26.66
74,Maniitsoq,GL,2021-02-03 20:04:15,65.4167,-52.9,2.21,75,99,7.18
75,Lompoc,US,2021-02-03 20:03:46,34.6391,-120.4579,62.6,59,1,14.97
76,Touros,BR,2021-02-03 20:04:38,-5.1989,-35.4608,84.2,61,20,18.41
77,Thompson,CA,2021-02-03 20:04:39,55.7435,-97.8558,3.2,85,90,16.11
78,Muravlenko,RU,2021-02-03 20:04:39,63.7898,74.523,-1.14,93,94,6.31
79,Saint-Philippe,RE,2021-02-03 20:03:46,-21.3585,55.7679,80.6,74,0,2.3
80,Bay Roberts,CA,2021-02-03 20:04:39,47.5999,-53.2648,44.01,100,90,26.46
81,Lagoa,PT,2021-02-03 20:04:39,39.05,-27.9833,54.18,66,10,32.57
82,Kruisfontein,ZA,2021-02-03 20:04:39,-34.0033,24.7314,71.01,78,7,1.99
83,Antalaha,MG,2021-02-03 20:04:39,-14.9003,50.2788,77.18,88,47,5.37
84,Bredasdorp,ZA,2021-02-03 20:04:39,-34.5322,20.0403,64.4,72,0,1.14
85,Eyl,SO,2021-02-03 20:04:40,7.9803,49.8164,71.62,70,84,14.99
86,Sharjah,AE,2021-02-03 20:00:08,25.3573,55.4033,69.8,77,0,1.14
87,Fairbanks,US,2021-02-03 20:01:17,64.8378,-147.7164,-11.2,58,90,3.44
88,Palmer,US,2021-02-03 20:00:56,42.1584,-72.3287,35.01,60,75,12.66
89,Pevek,RU,2021-02-03 20:04:40,69.7008,170.3133,-9.35,73,0,8.34
90,Nikolskoye,RU,2021-02-03 20:03:35,59.7035,30.7861,23.0,93,75,13.42
91,Svetlogorsk,BY,2021-02-03 20:04:40,52.6333,29.7333,33.73,99,100,6.67
92,Luderitz,NA,2021-02-03 20:04:40,-26.6481,15.1594,66.7,75,0,14.92
93,Saint Marys,US,2021-02-03 20:04:40,30.7305,-81.5465,54.0,28,1,5.75
94,Calama,CL,2021-02-03 20:04:07,-22.4667,-68.9333,77.0,18,0,26.46
95,Maple Creek,CA,2021-02-03 20:03:37,49.9168,-109.4848,6.8,72,100,12.66
96,Katsuura,JP,2021-02-03 20:04:41,35.1333,140.3,39.2,65,40,11.5
97,Sisimiut,GL,2021-02-03 20:03:38,66.9395,-53.6735,-1.35,77,100,10.36
98,Tuktoyaktuk,CA,2021-02-03 20:04:41,69.4541,-133.0374,-41.8,66,75,4.61
99,Maseru,LS,2021-02-03 20:04:41,-29.3167,27.4833,58.12,93,100,1.95
100,Iqaluit,CA,2021-02-03 20:04:39,63.7506,-68.5145,-5.8,71,90,2.3
101,Buin,CL,2021-02-03 20:04:41,-33.7333,-70.75,90.0,18,0,6.91
102,Ciudad Bolivar,VE,2021-02-03 20:04:41,8.1222,-63.5497,92.68,43,88,9.44
103,Hagonoy,PH,2021-02-03 20:04:42,14.8321,120.7336,77.0,83,40,2.3
104,Nakhon Phanom,TH,2021-02-03 20:04:42,17.3333,104.4167,60.62,82,0,5.26
105,Kemijarvi,FI,2021-02-03 20:04:42,66.7131,27.4306,15.22,95,95,8.88
106,Biak,ID,2021-02-03 20:04:32,-0.9131,122.8766,77.07,79,100,4.23
107,Saldanha,ZA,2021-02-03 20:04:42,-33.0117,17.9442,68.0,77,0,16.11
108,Huarmey,PE,2021-02-03 20:04:42,-10.0681,-78.1522,74.89,64,77,9.1
109,La Ronge,CA,2021-02-03 20:04:42,55.1001,-105.2842,8.6,72,100,8.05
110,Hirosaki,JP,2021-02-03 20:04:42,40.5931,140.4725,26.01,76,100,5.99
111,Sioux Lookout,CA,2021-02-03 20:04:43,50.1001,-91.917,30.2,69,90,13.8
112,Veraval,IN,2021-02-03 20:04:43,20.9,70.3667,69.89,52,0,9.04
113,Bubaque,GW,2021-02-03 20:04:43,11.2833,-15.8333,78.35,64,18,14.12
114,Kocevje,SI,2021-02-03 20:04:43,45.6433,14.8633,48.0,94,52,16.28
115,Vaini,TO,2021-02-03 20:02:59,-21.2,-175.2,80.6,89,75,2.3
116,Cockburn Town,TC,2021-02-03 20:04:16,21.4612,-71.1419,72.63,62,82,8.95
117,Ouadda,CF,2021-02-03 20:04:43,8.0777,22.4007,79.02,28,0,3.29
118,Bathsheba,BB,2021-02-03 20:04:08,13.2167,-59.5167,82.4,61,40,24.16
119,Norman Wells,CA,2021-02-03 20:04:44,65.282,-126.8329,-34.6,67,75,6.91
120,Naze,JP,2021-02-03 20:04:44,28.3667,129.4833,51.42,68,0,4.12
121,Taganak,PH,2021-02-03 20:04:44,6.0833,118.3,80.6,89,20,9.22
122,Port Alfred,ZA,2021-02-03 20:04:44,-33.5906,26.891,69.01,92,0,1.01
123,Port Augusta,AU,2021-02-03 20:04:44,-32.5,137.7667,71.01,68,90,5.75
124,Vermilion,US,2021-02-03 20:04:44,40.1667,-87.7506,33.01,69,1,5.37
125,Castro,BR,2021-02-03 20:04:13,-24.7911,-50.0119,80.85,70,12,4.05
126,Den Helder,NL,2021-02-03 20:04:45,52.9599,4.7593,44.01,100,90,8.05
127,Yellowknife,CA,2021-02-03 20:00:06,62.456,-114.3525,-15.0,76,90,5.75
128,Saskylakh,RU,2021-02-03 20:04:45,71.9167,114.0833,-22.9,84,98,13.49
129,Dikson,RU,2021-02-03 20:04:45,73.5069,80.5464,-2.87,91,100,18.32
130,Nanortalik,GL,2021-02-03 20:04:12,60.1432,-45.2371,17.47,80,0,15.43
131,Darnah,LY,2021-02-03 20:04:45,32.767,22.6367,59.14,74,0,10.0
132,Hami,CN,2021-02-03 20:04:45,42.8,93.45,24.55,83,19,2.01
133,Nepomuceno,BR,2021-02-03 20:01:15,-21.2358,-45.2358,78.89,72,7,2.08
134,Lebu,CL,2021-02-03 20:04:45,-37.6167,-73.65,64.18,69,0,13.44
135,Cabo San Lucas,MX,2021-02-03 20:03:42,22.8909,-109.9124,87.8,22,20,14.97
136,Sao Filipe,CV,2021-02-03 20:04:37,14.8961,-24.4956,72.63,76,62,9.66
137,Oranjestad,AW,2021-02-03 20:04:46,12.524,-70.027,84.2,70,40,23.02
138,Ekhabi,RU,2021-02-03 20:04:46,53.5102,142.9671,-25.85,79,0,15.57
139,Tadepallegudem,IN,2021-02-03 20:04:46,16.8333,81.5,63.18,80,45,4.43
140,Port Blair,IN,2021-02-03 20:04:46,11.6667,92.75,76.3,77,100,9.66
141,Talnakh,RU,2021-02-03 20:04:46,69.4865,88.3972,-19.01,86,100,3.36
142,Mercedes,AR,2021-02-03 20:04:46,-34.6515,-59.4307,81.0,67,88,1.99
143,Basoko,CD,2021-02-03 20:04:47,1.2391,23.616,79.93,62,31,2.48
144,Leon Valley,US,2021-02-03 20:03:55,29.4952,-98.6186,73.99,49,1,13.8
145,Villa Alemana,CL,2021-02-03 20:04:47,-33.0422,-71.3733,73.4,73,20,11.5
146,Kahului,US,2021-02-03 20:04:47,20.8947,-156.47,77.0,61,40,28.77
147,Harper,LR,2021-02-03 20:04:47,4.375,-7.7169,78.93,87,17,7.36
148,Russellville,US,2021-02-03 20:04:47,35.2784,-93.1338,54.0,43,1,4.61
149,Fortuna,US,2021-02-03 20:01:18,40.5982,-124.1573,51.01,76,20,11.5
150,Luanda,AO,2021-02-03 20:01:54,-8.8368,13.2343,80.6,78,20,12.66
151,Hilo,US,2021-02-03 20:00:10,19.7297,-155.09,75.2,60,1,11.5
152,Boyolangu,ID,2021-02-03 20:04:48,-8.1181,111.8935,74.8,91,85,5.23
153,Narsaq,GL,2021-02-03 20:04:48,60.9167,-46.05,15.8,53,75,6.91
154,Faanui,PF,2021-02-03 20:04:48,-16.4833,-151.75,81.37,73,0,11.81
155,Camacha,PT,2021-02-03 20:04:48,33.0833,-16.3333,60.8,63,40,11.5
156,Saurimo,AO,2021-02-03 20:04:48,-9.6608,20.3916,64.65,94,100,2.68
157,Yatou,CN,2021-02-03 20:04:48,37.15,122.3833,26.67,85,0,9.4
158,Hunterville,NZ,2021-02-03 20:01:25,-39.9333,175.5667,64.0,76,0,7.0
159,Sibu,MY,2021-02-03 20:04:49,2.3,111.8167,75.2,100,40,2.3
160,Bandarbeyla,SO,2021-02-03 20:04:49,9.4942,50.8122,73.08,70,0,18.57
161,Batalha,BR,2021-02-03 20:04:49,-9.6778,-37.1247,90.82,42,80,17.78
162,Cocorit,MX,2021-02-03 20:04:49,27.5833,-109.9667,82.4,26,75,5.75
163,Winnemucca,US,2021-02-03 20:04:49,40.973,-117.7357,39.2,41,90,12.66
164,Tautira,PF,2021-02-03 20:04:49,-17.7333,-149.15,84.2,70,20,3.44
165,Jatiroto,ID,2021-02-03 20:04:49,-7.8833,111.1167,74.1,86,100,1.86
166,Carnarvon,AU,2021-02-03 20:00:13,-24.8667,113.6333,77.0,88,90,21.85
167,Pekalongan,ID,2021-02-03 20:04:50,-6.8886,109.6753,59.0,96,100,14.54
168,Hasaki,JP,2021-02-03 20:02:06,35.7333,140.8333,33.8,60,40,4.61
169,Tonantins,BR,2021-02-03 20:04:50,-2.8731,-67.8022,87.35,71,94,2.82
170,Khuzhir,RU,2021-02-03 20:04:50,53.1939,107.3397,14.92,95,100,3.96
171,Grand-Lahou,CI,2021-02-03 20:04:50,5.1367,-5.0242,79.81,85,0,9.13
172,Nizwa,OM,2021-02-03 20:04:50,22.9333,57.5333,58.01,46,0,4.76
173,Nago,JP,2021-02-03 20:04:51,26.5881,127.9761,59.0,87,20,4.61
174,Mazatlan,MX,2021-02-03 20:02:41,23.2167,-106.4167,78.8,57,40,8.05
175,Kralendijk,BQ,2021-02-03 20:04:51,12.15,-68.2667,84.2,70,40,17.27
176,Leningradskiy,RU,2021-02-03 20:04:51,69.3833,178.4167,-23.78,84,74,11.52
177,Oktyabrskiy,RU,2021-02-03 20:04:51,54.4815,53.471,15.6,93,93,3.4
178,Ixtapa,MX,2021-02-03 20:02:18,20.7,-105.2,73.4,83,1,8.05
179,Ambulu,ID,2021-02-03 20:04:05,-8.345,113.6058,76.64,88,100,2.59
180,Beloha,MG,2021-02-03 20:04:51,-25.1667,45.05,78.66,66,0,12.95
181,Aklavik,CA,2021-02-03 20:04:26,68.2191,-135.0107,-41.8,74,1,3.44
182,Bombay,IN,2021-02-03 20:01:32,19.0144,72.8479,77.0,53,1,4.03
183,Sao Joao Da Barra,BR,2021-02-03 20:01:41,-21.6403,-41.0511,86.0,54,0,20.71
184,Ippy,CF,2021-02-03 20:04:52,6.2679,21.2247,80.98,32,0,1.23
185,Siguiri,GN,2021-02-03 20:04:52,11.6667,-9.5,80.4,14,100,2.68
186,Jalu,LY,2021-02-03 20:04:52,29.0331,21.5482,58.17,71,0,11.14
187,Klaksvik,FO,2021-02-03 20:04:16,62.2266,-6.589,30.2,74,22,3.44
188,Angoche,MZ,2021-02-03 20:04:52,-16.2325,39.9086,80.6,80,75,1.79
189,Dwarka,IN,2021-02-03 20:04:53,22.2394,68.9678,69.37,81,0,10.8
190,Caravelas,BR,2021-02-03 20:04:53,-17.7125,-39.2481,81.3,70,7,10.16
191,Pahrump,US,2021-02-03 20:01:35,36.2083,-115.9839,63.0,22,1,23.02
192,Kalga,RU,2021-02-03 20:04:53,50.9251,118.898,-23.4,80,100,2.51
193,Kavieng,PG,2021-02-03 20:03:59,-2.5744,150.7967,82.27,71,100,5.41
194,Bloemfontein,ZA,2021-02-03 20:04:53,-29.1211,26.214,64.4,100,99,6.91
195,Port Hardy,CA,2021-02-03 20:00:04,50.6996,-127.4199,41.0,87,75,2.3
196,Lander,US,2021-02-03 20:03:51,42.833,-108.7307,46.0,28,1,32.21
197,San Jose De Sisa,PE,2021-02-03 20:04:54,-6.6167,-76.6915,91.4,52,40,5.75
198,Mumford,GH,2021-02-03 20:04:54,5.2618,-0.759,81.43,80,100,9.15
199,Dalbandin,PK,2021-02-03 20:04:54,28.8947,64.4101,45.81,50,0,1.83
200,Poum,NC,2021-02-03 20:04:54,-20.2333,164.0167,79.3,81,63,21.27
201,Acapulco,MX,2021-02-03 20:04:54,16.8634,-99.8901,84.2,74,20,6.91
202,Praia,CV,2021-02-03 20:04:54,14.9215,-23.5087,71.6,78,0,17.27
203,Iquitos,PE,2021-02-03 20:04:54,-3.7481,-73.2472,93.2,52,75,5.75
204,Kidal,ML,2021-02-03 20:04:54,18.4411,1.4078,73.17,16,0,11.27
205,Kasungu,MW,2021-02-03 20:04:55,-13.0333,33.4833,66.83,93,100,2.82
206,Manokwari,ID,2021-02-03 20:04:55,-0.8667,134.0833,78.42,79,100,5.12
207,Wanning,CN,2021-02-03 20:04:55,18.8003,110.3967,67.71,88,35,8.39
208,Constitucion,CL,2021-02-03 20:04:55,-35.3333,-72.4167,71.83,50,0,10.0
